activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300VZVN841I2ILS84,48864,DE,10003,10003016613,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,225000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,76,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,<25,<25,No,No,1,1,1,,,,,10,,,,6109,58.47,105700,78.3,1495,1907,20
2023,549300VZVN841I2ILS84,41540,DE,10005,10005050200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,1,1,2,2,2,195000.0,56.71600,7.000,0.460,2,4619.30,NA,1699.00,209.00,34.00,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,47,38,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,3744,45.57,93300,72.1,1086,1620,24
2023,549300VZVN841I2ILS84,48864,DE,10003,10003015600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,5,2,1,1,1,2,2,1,105000.0,80.00000,11.000,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,125000,1,3,3,5,1,NA,NA,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,6,,,,,10,,,,2343,80.58,105700,71.83,642,851,67
2023,549300VZVN841I2ILS84,48864,DE,10003,10003012400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,71,2,2,1,1,2,2,2,235000.0,99.44600,6.625,0.891,2,10028.47,NA,2912.31,,200.00,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,81,39,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,4637,49.43,105700,89.26,1301,1851,68
2023,549300VZVN841I2ILS84,48864,DE,10003,10003014812,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,3,2,1,1,1,2,2,2,475000.0,95.00000,7.125,0.943,2,13971.00,NA,10890.00,9500.00,158.00,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,199,30%-<36%,2,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,25-34,55-64,No,No,1,1,2,,,,,10,,,,4559,45.34,105700,161.06,1239,1489,28
2023,549300VZVN841I2ILS84,48864,DE,10003,10003016200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,2,185000.0,58.75000,7.375,0.937,2,6189.94,NA,3238.88,1740.88,,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,57,45,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,55-64,Yes,Yes,1,1,1,,,,,10,,,,3051,35.3,105700,102.99,540,883,44
2023,549300VZVN841I2ILS84,48864,DE,10003,10003014301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,465000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,151,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,1317,15.79,105700,130.26,549,574,44
2023,549300VZVN841I2ILS84,48864,DE,10003,10003015600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,71,2,2,1,1,2,2,2,265000.0,101.02800,6.625,0.843,2,10973.13,NA,2768.63,,25.00,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,78,49,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,3,,,,,10,,,,2343,80.58,105700,71.83,642,851,67
2023,549300VZVN841I2ILS84,48864,DE,10003,10003001100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,1,1,2,2,2,135000.0,90.00000,7.500,1.547,3,6241.61,NA,3778.91,2384.91,,360,NA,NA,2,2,2,2,145000,1,2,3,5,1,NA,182,40,2,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,3375,29.3,105700,123.64,627,595,66
2023,549300VZVN841I2ILS84,48864,DE,10003,10003002200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,71,2,2,1,1,2,2,2,225000.0,96.50000,6.250,0.738,2,11442.40,NA,4849.16,3726.26,71.90,300,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,48,43,3,10,1,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,3,,,,,10,,,,2874,95.69,105700,48.36,340,983,0
